GroupId,ArtifactId,Version,Scope,Parent,AppName
ch.qos.logback,logback-classic,1.4.11,compile,org.springframework.boot:spring-boot-starter-logging:3.1.5--->org.springframework.boot:spring-boot-starter:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
ch.qos.logback,logback-core,1.4.11,compile,ch.qos.logback:logback-classic:1.4.11--->org.springframework.boot:spring-boot-starter-logging:3.1.5--->org.springframework.boot:spring-boot-starter:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.fasterxml,classmate,1.5.1,compile,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
com.fasterxml.jackson.core,jackson-annotations,2.15.3,compile,com.fasterxml.jackson.core:jackson-databind:2.15.3--->org.springframework.boot:spring-boot-starter-json:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.fasterxml.jackson.core,jackson-core,2.15.3,compile,com.fasterxml.jackson.core:jackson-databind:2.15.3--->org.springframework.boot:spring-boot-starter-json:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.fasterxml.jackson.core,jackson-databind,2.15.3,compile,org.springframework.boot:spring-boot-starter-json:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.fasterxml.jackson.dataformat,jackson-dataformat-yaml,2.15.3,compile,org.apache.commons:commons-lang3:3.12.0--->io.swagger.core.v3:swagger-core-jakarta:2.2.19--->org.springdoc:springdoc-openapi-starter-common:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
com.fasterxml.jackson.datatype,jackson-datatype-jdk8,2.15.3,compile,org.springframework.boot:spring-boot-starter-json:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.15.3,compile,org.springframework.boot:spring-boot-starter-json:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.fasterxml.jackson.module,jackson-module-parameter-names,2.15.3,compile,org.springframework.boot:spring-boot-starter-json:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
com.jayway.jsonpath,json-path,2.8.0,test,org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
com.mysql,mysql-connector-j,8.0.33,runtime,,test
com.sun.istack,istack-commons-runtime,4.1.2,runtime,org.eclipse.angus:angus-activation:2.0.1--->org.glassfish.jaxb:jaxb-core:4.0.3--->org.glassfish.jaxb:jaxb-runtime:4.0.3--->org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
com.vaadin.external.google,android-json,0.0.20131108.vaadin1,test,org.skyscreamer:jsonassert:1.5.1--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
com.zaxxer,HikariCP,5.0.1,compile,org.springframework.boot:spring-boot-starter-jdbc:3.1.5--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
io.micrometer,micrometer-commons,1.11.5,compile,io.micrometer:micrometer-observation:1.11.5--->org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
io.micrometer,micrometer-commons,1.11.5,compile,io.micrometer:micrometer-observation:1.11.5--->org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
io.micrometer,micrometer-observation,1.11.5,compile,org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
io.micrometer,micrometer-observation,1.11.5,compile,org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
io.projectreactor,reactor-core,3.5.11,compile,org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test2
io.projectreactor,reactor-core,3.5.11,compile,org.springframework.integration:spring-integration-core:6.1.4--->org.springframework.boot:spring-boot-starter-integration:3.1.5--->,test
io.smallrye,jandex,3.0.5,runtime,org.hibernate.orm:hibernate-core:6.2.13.Final--->org.springframework.boot:spring-boot-starter-data-jpa:3.1.5--->,test
io.swagger.core.v3,swagger-annotations-jakarta,2.2.19,compile,org.apache.commons:commons-lang3:3.12.0--->io.swagger.core.v3:swagger-core-jakarta:2.2.19--->org.springdoc:springdoc-openapi-starter-common:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
io.swagger.core.v3,swagger-core-jakarta,2.2.19,compile,org.springdoc:springdoc-openapi-starter-common:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
io.swagger.core.v3,swagger-models-jakarta,2.2.19,compile,org.apache.commons:commons-lang3:3.12.0--->io.swagger.core.v3:swagger-core-jakarta:2.2.19--->org.springdoc:springdoc-openapi-starter-common:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-api:2.3.0--->org.springdoc:springdoc-openapi-starter-webmvc-ui:2.3.0--->,test
jakarta.activation,jakarta.activation-api,2.1.2,compile,jakarta.xml.bind:jakarta.xml.bind-api:4.0.1--->org.springframework.boot:spring-boot-starter-test:3.1.5--->,test
jakarta.annotation,jakarta.annotation-api,2.1.1,compile,org.springframework.boot:spring-boot-starter:3.1.5--->org.springframework.boot:spring-boot-starter-web:3.1.5--->,test
